date,version,downloads
2023-11-27,v14,919.3169060659959
2023-11-27,v15,0
2023-11-28,v14,1404.7066528827447
2023-11-28,v15,0
2023-11-29,v14,1445.1932672264818
2023-11-29,v15,0
2023-11-30,v14,1515.6515714334992
2023-11-30,v15,0
2023-12-01,v14,1596.6428320243817
2023-12-01,v15,0
2023-12-02,v14,1596.6428320243817
2023-12-02,v15,0
2023-12-03,v14,1596.6428320243817
2023-12-03,v15,0
2023-12-04,v14,1511.3841285918559
2023-12-04,v15,0
2023-12-05,v14,1480.5260877493497
2023-12-05,v15,0
2023-12-06,v14,1438.3673300296289
2023-12-06,v15,0
2023-12-07,v14,1482.5894491621798
2023-12-07,v15,0
2023-12-08,v14,1592.7868673209769
2023-12-08,v15,0
2023-12-09,v14,1260.8711339801864
2023-12-09,v15,0
2023-12-10,v14,1260.8711339801864
2023-12-10,v15,0
2023-12-11,v14,1352.0226246622967
2023-12-11,v15,0
2023-12-12,v14,1480.1768841663222
2023-12-12,v15,0
2023-12-13,v14,1573.031303875984
2023-12-13,v15,0
2023-12-14,v14,1514.8086892630893
2023-12-14,v15,0
2023-12-15,v14,1047.9001237714692
2023-12-15,v15,0
2023-12-16,v14,1047.9001237714692
2023-12-16,v15,0
2023-12-17,v14,1047.9001237714692
2023-12-17,v15,0
2023-12-18,v14,1189.4973711807438
2023-12-18,v15,0
2023-12-19,v14,1617.97966570856
2023-12-19,v15,0
2023-12-20,v14,1959.831737095872
2023-12-20,v15,0
2023-12-21,v14,1732.183486238532
2023-12-21,v15,0
2023-12-22,v14,1732.183486238532
2023-12-22,v15,0
2023-12-23,v14,1732.183486238532
2023-12-23,v15,0
2023-12-24,v14,1732.183486238532
2023-12-24,v15,0
2023-12-25,v14,1732.183486238532
2023-12-25,v15,0
2023-12-26,v14,1732.183486238532
2023-12-26,v15,0
2023-12-27,v14,1732.183486238532
2023-12-27,v15,0
2023-12-28,v14,1732.183486238532
2023-12-28,v15,0
2023-12-29,v14,1732.183486238532
2023-12-29,v15,0
2023-12-30,v14,1732.183486238532
2023-12-30,v15,0
2023-12-31,v14,1732.183486238532
2023-12-31,v15,0
2024-01-01,v14,1732.183486238532
2024-01-01,v15,0
2024-01-02,v14,1732.183486238532
2024-01-02,v15,0
2024-01-03,v14,1558.7742251152763
2024-01-03,v15,0
2024-01-04,v14,1481.2025132914453
2024-01-04,v15,0
2024-01-05,v14,1489.6943300453559
2024-01-05,v15,0
2024-01-06,v14,1716.0328984150688
2024-01-06,v15,0
2024-01-07,v14,2160.8261080422517
2024-01-07,v15,0
2024-01-08,v14,2160.8261080422517
2024-01-08,v15,0
2024-01-09,v14,2123.1645619304804
2024-01-09,v15,0
2024-01-10,v14,2599.2177464094866
2024-01-10,v15,0
2024-01-11,v14,2525.7982920265354
2024-01-11,v15,0
2024-01-12,v14,1926.8168498736416
2024-01-12,v15,0
2024-01-13,v14,1926.8168498736416
2024-01-13,v15,0
2024-01-14,v14,1926.8168498736416
2024-01-14,v15,0
2024-01-15,v14,2097.484064931442
2024-01-15,v15,0
2024-01-16,v14,2254.5551134142192
2024-01-16,v15,0
2024-01-17,v14,2314.9090088017656
2024-01-17,v15,0
2024-01-18,v14,2217.846849392484
2024-01-18,v15,0
2024-01-19,v14,2574.456967798741
2024-01-19,v15,0
2024-01-20,v14,1754.9033942558747
2024-01-20,v15,0
2024-01-21,v14,1754.9033942558747
2024-01-21,v15,0
2024-01-22,v14,1751.3711497012696
2024-01-22,v15,0
2024-01-23,v14,1744.0011712173339
2024-01-23,v15,0
2024-01-24,v14,6324.979613466057
2024-01-24,v15,7791.151030512057
2024-01-25,v14,12481.543218646588
2024-01-25,v15,2997.45798006595
2024-01-26,v14,12481.543218646588
2024-01-26,v15,1818.7526230888923
2024-01-27,v14,12481.543218646588
2024-01-27,v15,1818.7526230888923
2024-01-28,v14,12481.543218646588
2024-01-28,v15,1818.7526230888923
2024-01-29,v14,12481.543218646588
2024-01-29,v15,2482.541387190943
2024-01-30,v14,12481.543218646588
2024-01-30,v15,2094.3927333412266
2024-01-31,v14,12481.543218646588
2024-01-31,v15,1525.297886190003
2024-02-01,v14,12481.543218646588
2024-02-01,v15,1525.297886190003
2024-02-02,v14,12481.543218646588
2024-02-02,v15,1442.739565890748
2024-02-03,v14,12481.543218646588
2024-02-03,v15,1291.4522559446655
2024-02-04,v14,12481.543218646588
2024-02-04,v15,1330.469818413742
2024-02-05,v14,12481.543218646588
2024-02-05,v15,1320.1475134205489
2024-02-06,v14,12481.543218646588
2024-02-06,v15,1297.6559859912138
2024-02-07,v14,12481.543218646588
2024-02-07,v15,1297.6559859912138
2024-02-08,v14,12481.543218646588
2024-02-08,v15,1297.6559859912138
2024-02-09,v14,12481.543218646588
2024-02-09,v15,1297.6559859912138
2024-02-10,v14,12481.543218646588
2024-02-10,v15,1297.6559859912138
2024-02-11,v14,12481.543218646588
2024-02-11,v15,1297.6559859912138
2024-02-12,v14,12481.543218646588
2024-02-12,v15,1344.4939719291754
2024-02-13,v14,12481.543218646588
2024-02-13,v15,1419.8917527393955
2024-02-14,v14,12481.543218646588
2024-02-14,v15,1327.9442234481673
2024-02-15,v14,10544.641348078167
2024-02-15,v15,1245.7634804324255
2024-02-16,v14,9614.418739186753
2024-02-16,v15,1245.7634804324255
2024-02-17,v14,9614.418739186753
2024-02-17,v15,1245.7634804324255
2024-02-18,v14,9614.418739186753
2024-02-18,v15,1245.7634804324255
2024-02-19,v14,9614.418739186753
2024-02-19,v15,1291.1264014498306
2024-02-20,v14,9614.418739186753
2024-02-20,v15,1326.2148786095631
2024-02-21,v14,9614.418739186753
2024-02-21,v15,1326.2148786095631
2024-02-22,v14,9614.418739186753
2024-02-22,v15,1367.4458964653527
2024-02-23,v14,9614.418739186753
2024-02-23,v15,1329.7047449572258
2024-02-24,v14,9614.418739186753
2024-02-24,v15,1286.4694208280685
2024-02-25,v14,9614.418739186753
2024-02-25,v15,1286.4694208280685
2024-02-26,v14,9614.418739186753
2024-02-26,v15,1359.4110064618676
2024-02-27,v14,9614.418739186753
2024-02-27,v15,1498.4632649736636
2024-02-28,v14,9614.418739186753
2024-02-28,v15,1498.4632649736636
2024-02-29,v14,9614.418739186753
2024-02-29,v15,1498.4632649736636
2024-03-01,v14,9614.418739186753
2024-03-01,v15,3280.3780159669514
2024-03-02,v14,9614.418739186753
2024-03-02,v15,5009.78549472826
2024-03-03,v14,9614.418739186753
2024-03-03,v15,5009.78549472826
2024-03-04,v14,9614.418739186753
2024-03-04,v15,5009.78549472826
2024-03-05,v14,9460.0730582151
2024-03-05,v15,4138.10405667807
2024-03-06,v14,9171.982627712323
2024-03-06,v15,2154.6305835319445
2024-03-07,v14,9171.982627712323
2024-03-07,v15,2154.6305835319445
2024-03-08,v14,9171.982627712323
2024-03-08,v15,2154.6305835319445
2024-03-09,v14,9171.982627712323
2024-03-09,v15,2154.6305835319445
2024-03-10,v14,9171.982627712323
2024-03-10,v15,2154.6305835319445
2024-03-11,v14,9171.982627712323
2024-03-11,v15,2154.6305835319445
2024-03-12,v14,9171.982627712323
2024-03-12,v15,2154.6305835319445
2024-03-13,v14,9171.982627712323
2024-03-13,v15,2154.6305835319445
2024-03-14,v14,9171.982627712323
2024-03-14,v15,2201.8083992080374
2024-03-15,v14,9171.982627712323
2024-03-15,v15,2327.657295239832
2024-03-16,v14,9171.982627712323
2024-03-16,v15,2327.657295239832
2024-03-17,v14,9171.982627712323
2024-03-17,v15,2327.657295239832
2024-03-18,v14,9171.982627712323
2024-03-18,v15,2327.657295239832
2024-03-19,v14,9171.982627712323
2024-03-19,v15,2327.657295239832
2024-03-20,v14,9171.982627712323
2024-03-20,v15,2327.657295239832
2024-03-21,v14,9171.982627712323
2024-03-21,v15,2334.5837053597184
2024-03-22,v14,9171.982627712323
2024-03-22,v15,2370.0548747196885
2024-03-23,v14,9171.982627712323
2024-03-23,v15,2370.0548747196885
2024-03-24,v14,9171.982627712323
2024-03-24,v15,2370.0548747196885
2024-03-25,v14,9171.982627712323
2024-03-25,v15,2342.1589004896186
2024-03-26,v14,8116.207182351531
2024-03-26,v15,2302.2036227215453
2024-03-27,v14,7561.363966804553
2024-03-27,v15,2302.2036227215453
2024-03-28,v14,7561.363966804553
2024-03-28,v15,2302.2036227215453
2024-03-29,v14,7561.363966804553
2024-03-29,v15,2302.2036227215453
2024-03-30,v14,7561.363966804553
2024-03-30,v15,2302.2036227215453
2024-03-31,v14,7561.363966804553
2024-03-31,v15,2302.2036227215453
2024-04-01,v14,7561.363966804553
2024-04-01,v15,2302.2036227215453
2024-04-02,v14,7561.363966804553
2024-04-02,v15,2314.9357563446333
2024-04-03,v14,7302.178080963305
2024-04-03,v15,2345.9434376334666
2024-04-04,v14,7077.636906349984
2024-04-04,v15,2345.9434376334666
2024-04-05,v14,7077.636906349984
2024-04-05,v15,2345.9434376334666
2024-04-06,v14,7077.636906349984
2024-04-06,v15,2345.9434376334666
2024-04-07,v14,7077.636906349984
2024-04-07,v15,2345.9434376334666
2024-04-08,v14,7077.636906349984
2024-04-08,v15,2345.9434376334666
2024-04-09,v14,7077.636906349984
2024-04-09,v15,2345.9434376334666
2024-04-10,v14,7077.636906349984
2024-04-10,v15,2235.390590154141
2024-04-11,v14,7077.636906349984
2024-04-11,v15,2105.2295941765547
2024-04-12,v14,7077.636906349984
2024-04-12,v15,2105.2295941765547
2024-04-13,v14,7077.636906349984
2024-04-13,v15,2105.2295941765547
2024-04-14,v14,7077.636906349984
2024-04-14,v15,2105.2295941765547
2024-04-15,v14,7077.636906349984
2024-04-15,v15,2105.2295941765547
2024-04-16,v14,7077.636906349984
2024-04-16,v15,2105.2295941765547
2024-04-17,v14,7077.636906349984
2024-04-17,v15,2256.0812992452497
2024-04-18,v14,7077.636906349984
2024-04-18,v15,2395.92428857247
2024-04-19,v14,7077.636906349984
2024-04-19,v15,2395.92428857247
2024-04-20,v14,7077.636906349984
2024-04-20,v15,2395.92428857247
2024-04-21,v14,7077.636906349984
2024-04-21,v15,2395.92428857247
2024-04-22,v14,7077.636906349984
2024-04-22,v15,2398.2558565752493
2024-04-23,v14,7077.636906349984
2024-04-23,v15,2400.8989144630777
2024-04-24,v14,7077.636906349984
2024-04-24,v15,2400.8989144630777
2024-04-25,v14,7077.636906349984
2024-04-25,v15,2400.8989144630777
2024-04-26,v14,7077.636906349984
2024-04-26,v15,2400.8989144630777
2024-04-27,v14,7077.636906349984
2024-04-27,v15,2400.8989144630777
2024-04-28,v14,7077.636906349984
2024-04-28,v15,2400.8989144630777
2024-04-29,v14,7077.636906349984
2024-04-29,v15,2400.8989144630777
2024-04-30,v14,7077.636906349984
2024-04-30,v15,2400.8989144630777
2024-05-01,v14,7312.350646733286
2024-05-01,v15,2400.8989144630777
2024-05-02,v14,7693.335578636995
2024-05-02,v15,2400.8989144630777
2024-05-03,v14,7693.335578636995
2024-05-03,v15,2613.34913600641
2024-05-04,v14,7693.335578636995
2024-05-04,v15,2663.9348416289595
2024-05-05,v14,7693.335578636995
2024-05-05,v15,2663.9348416289595
2024-05-06,v14,7693.335578636995
2024-05-06,v15,2663.9348416289595
2024-05-07,v14,7693.335578636995
2024-05-07,v15,2663.9348416289595
2024-05-08,v14,7693.335578636995
2024-05-08,v15,2478.6803622112875
2024-05-09,v14,7693.335578636995
2024-05-09,v15,2396.2045622617893
2024-05-10,v14,7693.335578636995
2024-05-10,v15,2396.2045622617893
2024-05-11,v14,7693.335578636995
2024-05-11,v15,2396.2045622617893
2024-05-12,v14,7693.335578636995
2024-05-12,v15,2396.2045622617893
2024-05-13,v14,7693.335578636995
2024-05-13,v15,2396.2045622617893
2024-05-14,v14,7693.335578636995
2024-05-14,v15,2338.7826883101884
2024-05-15,v14,7693.335578636995
2024-05-15,v15,2865.0236193785786
2024-05-16,v14,7693.335578636995
2024-05-16,v15,2983.951221683208
2024-05-17,v14,7693.335578636995
2024-05-17,v15,2983.951221683208
2024-05-18,v14,7693.335578636995
2024-05-18,v15,2983.951221683208
2024-05-19,v14,7693.335578636995
2024-05-19,v15,2983.951221683208
2024-05-20,v14,7693.335578636995
2024-05-20,v15,2983.951221683208
2024-05-21,v14,7693.335578636995
2024-05-21,v15,2983.951221683208
2024-05-22,v14,7693.335578636995
2024-05-22,v15,3424.229369193019
2024-05-23,v14,7693.335578636995
2024-05-23,v15,4590.989196667986
2024-05-24,v14,7693.335578636995
2024-05-24,v15,4590.989196667986
2024-05-25,v14,7693.335578636995
2024-05-25,v15,4590.989196667986
2024-05-26,v14,7693.335578636995
2024-05-26,v15,4590.989196667986
2024-05-27,v14,7693.335578636995
2024-05-27,v15,4590.989196667986
2024-05-28,v14,7693.335578636995
2024-05-28,v15,4590.989196667986
2024-05-29,v14,7693.335578636995
2024-05-29,v15,4590.989196667986
2024-05-30,v14,7693.335578636995
2024-05-30,v15,4590.989196667986
2024-05-31,v14,7693.335578636995
2024-05-31,v15,5692.845711991131
2024-06-01,v14,7693.335578636995
2024-06-01,v15,6051.028502905636
2024-06-02,v14,7693.335578636995
2024-06-02,v15,6051.028502905636
2024-06-03,v14,8612.834446236113
2024-06-03,v15,6051.028502905636
2024-06-04,v14,9234.215794327358
2024-06-04,v15,6128.67480011487
2024-06-05,v14,9234.215794327358
2024-06-05,v15,6237.420746939191
2024-06-06,v14,9234.215794327358
2024-06-06,v15,5874.833897770988
2024-06-07,v14,9234.215794327358
2024-06-07,v15,5857.370927189006
2024-06-08,v14,9234.215794327358
2024-06-08,v15,5857.370927189006
2024-06-09,v14,9234.215794327358
2024-06-09,v15,5857.370927189006
2024-06-10,v14,9234.215794327358
2024-06-10,v15,5857.370927189006
2024-06-11,v14,9234.215794327358
2024-06-11,v15,5871.08433503239
2024-06-12,v14,9234.215794327358
2024-06-12,v15,5921.189021029467
2024-06-13,v14,9234.215794327358
2024-06-13,v15,5921.299400349402
2024-06-14,v14,9234.215794327358
2024-06-14,v15,5921.299400349402
2024-06-15,v14,9234.215794327358
2024-06-15,v15,5921.299400349402
2024-06-16,v14,9234.215794327358
2024-06-16,v15,5921.299400349402
2024-06-17,v14,9234.215794327358
2024-06-17,v15,5921.299400349402
2024-06-18,v14,9234.215794327358
2024-06-18,v15,5921.299400349402
2024-06-19,v14,9234.215794327358
2024-06-19,v15,5921.299400349402
2024-06-20,v14,9234.215794327358
2024-06-20,v15,5973.686627595953
2024-06-21,v14,9234.215794327358
2024-06-21,v15,5904.484013363909
2024-06-22,v14,9234.215794327358
2024-06-22,v15,4953.6
2024-06-23,v14,9234.215794327358
2024-06-23,v15,4953.6
2024-06-24,v14,9234.215794327358
2024-06-24,v15,4953.6
2024-06-25,v14,9234.215794327358
2024-06-25,v15,4953.6
2024-06-26,v14,9255.0516505628
2024-06-26,v15,5060.984669813028
2024-06-27,v14,3948.8108519676202
2024-06-27,v15,3238.011330186973
